size,dim,threads,ef_search,build_time_s,build_qps,speedup,recall,query_latency_ms,query_qps
10000,960,1,10,2.678221207985189,3733.8215268345757,1.0,0.7298,0.06525628658710048,15324.194070792788
10000,960,1,20,2.678221207985189,3733.8215268345757,1.0,0.8293,0.0883971425355412,11312.582865423927
10000,960,1,50,2.678221207985189,3733.8215268345757,1.0,0.9032,0.12326812301762402,8112.397394556149
10000,960,1,100,2.678221207985189,3733.8215268345757,1.0,0.9304,0.17167777247959748,5824.8658842474315
10000,960,1,200,2.678221207985189,3733.8215268345757,1.0,0.9461,0.25296025845455006,3953.1901418406887
10000,960,1,500,2.678221207985189,3733.8215268345757,1.0,0.9542,0.4408945683389902,2268.1159438351956
10000,960,4,10,0.9567328750272281,10452.238300806173,2.799340628813417,0.7247,0.06541883188765496,15286.118249823225
10000,960,4,20,0.9567328750272281,10452.238300806173,2.799340628813417,0.8248,0.08608058205572888,11617.021819771111
10000,960,4,50,0.9567328750272281,10452.238300806173,2.799340628813417,0.9002,0.1231795649509877,8118.229678744954
10000,960,4,100,0.9567328750272281,10452.238300806173,2.799340628813417,0.9312,0.1716968422406353,5824.21893699412
10000,960,4,200,0.9567328750272281,10452.238300806173,2.799340628813417,0.9464,0.27086148445960134,3691.9239440598603
10000,960,4,500,0.9567328750272281,10452.238300806173,2.799340628813417,0.9565,0.449606372625567,2224.167762926265
10000,960,8,10,0.7893284589517862,12668.99715396024,3.393037686164031,0.7235,0.06568695849273354,15223.72207430829
10000,960,8,20,0.7893284589517862,12668.99715396024,3.393037686164031,0.823,0.08420059719355777,11876.400326487357
10000,960,8,50,0.7893284589517862,12668.99715396024,3.393037686164031,0.9015,0.12231590296141802,8175.551794891535
10000,960,8,100,0.7893284589517862,12668.99715396024,3.393037686164031,0.9318,0.17551658354932442,5697.467326322334
10000,960,8,200,0.7893284589517862,12668.99715396024,3.393037686164031,0.9468,0.2537119497428648,3941.477730999634
10000,960,8,500,0.7893284589517862,12668.99715396024,3.393037686164031,0.9571,0.4459133236669004,2242.5882944619193
100000,960,1,10,44.45342058298411,2249.5456747433745,1.0,0.4933,0.08726876543369144,11458.853520276049
100000,960,1,20,44.45342058298411,2249.5456747433745,1.0,0.6134,0.11573640198912472,8640.323898214549
100000,960,1,50,44.45342058298411,2249.5456747433745,1.0,0.748,0.18527556833578274,5397.365713042412
100000,960,1,100,44.45342058298411,2249.5456747433745,1.0,0.8114,0.28046640648972243,3565.4894021564205
100000,960,1,200,44.45342058298411,2249.5456747433745,1.0,0.8531,0.4566523896646686,2189.8494842747355
100000,960,1,500,44.45342058298411,2249.5456747433745,1.0,0.8831,0.8948573138331994,1117.4965936372723
100000,960,4,10,15.21471766702598,6572.583349129409,2.921738119355679,0.4927,0.08431622863281518,11860.113008076458
100000,960,4,20,15.21471766702598,6572.583349129409,2.921738119355679,0.617,0.11620281590148807,8605.64343679725
100000,960,4,50,15.21471766702598,6572.583349129409,2.921738119355679,0.7497,0.1839561217930168,5436.0789423750575
100000,960,4,100,15.21471766702598,6572.583349129409,2.921738119355679,0.8126,0.2820612349314615,3545.3294396977008
100000,960,4,200,15.21471766702598,6572.583349129409,2.921738119355679,0.8568,0.4549022996216081,2198.274224667163
100000,960,4,500,15.21471766702598,6572.583349129409,2.921738119355679,0.8881,0.8734993746038526,1144.8205105510438
100000,960,8,10,12.976008041005116,7706.530366195276,3.4258163560401713,0.5007,0.08448320999741554,11836.671452595036
100000,960,8,20,12.976008041005116,7706.530366195276,3.4258163560401713,0.629,0.1178555948426947,8484.959931980566
100000,960,8,50,12.976008041005116,7706.530366195276,3.4258163560401713,0.7522,0.18513956223614514,5401.330693028765
100000,960,8,100,12.976008041005116,7706.530366195276,3.4258163560401713,0.819,0.2842588856583461,3517.919933035659
100000,960,8,200,12.976008041005116,7706.530366195276,3.4258163560401713,0.8614,0.45656651962781325,2190.2613463974235
100000,960,8,500,12.976008041005116,7706.530366195276,3.4258163560401713,0.8891,0.8785806713276543,1138.1994080166419
500000,960,1,10,316.72748741705436,1578.6441652966469,1.0,0.3638,0.0994785069487989,10052.422685783726
500000,960,1,20,316.72748741705436,1578.6441652966469,1.0,0.4735,0.1513993293629028,6605.049072595357
500000,960,1,50,316.72748741705436,1578.6441652966469,1.0,0.6263,0.2356866670306772,4242.921386256606
500000,960,1,100,316.72748741705436,1578.6441652966469,1.0,0.7008,0.3621069647488184,2761.614929703622
500000,960,1,200,316.72748741705436,1578.6441652966469,1.0,0.7571,0.5978027230012231,1672.7926480153455
500000,960,1,500,316.72748741705436,1578.6441652966469,1.0,0.8087,1.196749362978153,835.5968517179443
500000,960,4,10,134.8315506670042,3708.3308582192208,2.3490606304698054,0.372,0.10086248989682645,9914.48853803741
500000,960,4,20,134.8315506670042,3708.3308582192208,2.3490606304698054,0.4867,0.14459271036321297,6915.977973495532
500000,960,4,50,134.8315506670042,3708.3308582192208,2.3490606304698054,0.6162,0.23171378643019125,4315.668978553727
500000,960,4,100,134.8315506670042,3708.3308582192208,2.3490606304698054,0.6964,0.3622642786358483,2760.4156936632717
500000,960,4,200,134.8315506670042,3708.3308582192208,2.3490606304698054,0.7556,0.5970439244410954,1674.9186434417195
500000,960,4,500,134.8315506670042,3708.3308582192208,2.3490606304698054,0.8053,1.1779154647374526,848.9573572437064
500000,960,8,10,105.11684425000567,4756.611593198329,3.0130992770650766,0.3682,0.10040379001293331,9959.783389363958
500000,960,8,20,105.11684425000567,4756.611593198329,3.0130992770650766,0.4898,0.1433873176574707,6974.117490563842
500000,960,8,50,105.11684425000567,4756.611593198329,3.0130992770650766,0.6272,0.23185172921512276,4313.10132292416
500000,960,8,100,105.11684425000567,4756.611593198329,3.0130992770650766,0.7043,0.35973421134985983,2779.830131383999
500000,960,8,200,105.11684425000567,4756.611593198329,3.0130992770650766,0.7604,0.5967020311509259,1675.8783241799733
500000,960,8,500,105.11684425000567,4756.611593198329,3.0130992770650766,0.81,1.1818216522806324,846.1513613921693
